,ID,Category path,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Category 1,Category 2,Category 3,Category 4,Name,Flow property,Unit,Eutrophication Potential - TRACI 2.1 (NETL),Acidification Potential - TRACI 2.1 (NETL),Particulate Matter Formation Potential - TRACI 2.1 (NETL),Photochemical Smog Formation Potential- TRACI 2.1 (NETL),Global Warming Potential [100 yr] - TRACI 2.1 (NETL),Ozone Depletion Potential - TRACI 2.1 (NETL),Water Consumption (NETL),Solar Use,Wind Use
0,890a70b7-b677-4e2a-8a1b-7d017e0a10ae,Energy carriers and technologies,,,,,,,,,,Electricity,Energy,MJ,,,,,,,,3600.0,3600.0
1,c95afd2d-269a-4267-a0e8-6af98d5d9af7,Elementary flows/resource,17.0,#VALUE!,#VALUE!,#VALUE!,Elementary flows,resource,,,,Heat,Energy,MJ,,,,,,,,10172.85009,10173.40347
2,bd2aa68d-e1bb-4cc0-b910-d940ed81b9b1,Elementary flows/resource,17.0,#VALUE!,#VALUE!,#VALUE!,Elementary flows,resource,,,,Water,Mass,kg,,,,,,,1.0,0.0,0.0
3,a8712739-ab8e-46f9-bb8f-4d20e6986124,Elementary flows/resource,17.0,#VALUE!,#VALUE!,#VALUE!,Elementary flows,resource,,,,"Water, brackish",Mass,kg,,,,,,,0.0,0.0,0.0
4,e89fdb63-40c0-4502-97f2-bcbb9b31a469,Elementary flows/resource,17.0,#VALUE!,#VALUE!,#VALUE!,Elementary flows,resource,,,,"Water, fresh",Mass,kg,,,,,,,1.0,0.0,0.0
5,0b3a9596-3e55-4d4a-9c20-53d82a95955c,Elementary flows/resource,17.0,#VALUE!,#VALUE!,#VALUE!,Elementary flows,resource,,,,"Water, reclaimed",Mass,kg,,,,,,,0.0,0.0,0.0
6,9469b4e0-67d9-45f9-bd17-063e6006d933,Elementary flows/resource,17.0,#VALUE!,#VALUE!,#VALUE!,Elementary flows,resource,,,,"Water, reclaimed",Mass,kg,,,,,,,0.0,0.0,0.0
7,902749f1-3200-43a4-b4d8-60068ce33c48,Elementary flows/resource,17.0,#VALUE!,#VALUE!,#VALUE!,Elementary flows,resource,,,,"Water, saline",Mass,kg,,,,,,,0.0,0.0,0.0
8,803a5707-c54f-49a4-b29d-adcc60a24388,Elementary flows/resource/air,17.0,26,#VALUE!,#VALUE!,Elementary flows,resource,air,,,Air,Mass,kg,,,,,,,,0.0,0.0
9,5cb7a779-5600-458b-ac7f-54abdc79d80b,Elementary flows/resource/air,17.0,26,#VALUE!,#VALUE!,Elementary flows,resource,air,,,Carbon dioxide,Mass,kg,,,,,,,,0.0,2.43e-09
